ei mi tavla la alis a la kevin	I need to speak to Alice or Kevin (or to both of them).
a'a ko ca'o skicu	I'm listening, go on talking!
a'a cu'i ko denpa lo nu mi jai gau mulno fai ti	Eh, just a second, let me finish this.
do tavla da a'a nai	La, la, la, I'm not listening what you are talking about.
a'e ba vlile tcima	It's going to be a storm.
a'e nai mi ba klama lo ckana	Yaaaawn, I'm going to bed.
a'i mi ca'o ralte	I'm trying to hold it!
a'i cu'i ti frili	Ah, this is easy.
a'i nai cikre ta	Nah, why bother fixing it.
a'o vamji fa lo nu zukte	I hope, it's worth doing it.
a'o nai mi co'u ponse da	Gah, I lost all my property.
a'oi la kevin ma nuzba	Ahoy, Kevin! What's up?
a'u ro jbopre cu stati prenu	Interesting, all Lojbanists are smart people.
a'u ma krinu	Hm, what is the reason?
a'u cu'i do ne ka'ai lo nanla cu se zdani	It's none of my business that you live with a boy.
a'u nai do co'a speni lo fange	You married a stranger, it's none of my business, I'd avoid this topic.
a'u nai iu nai panci fa lo kalci i ai nai mi citka ti	Yuck, that smells like shit! I'm not going to eat this.
ma se stuzi lo tcana pe lo aftobuso pe li mu	Where is the stop of bus number 5?
lo aftobuso pe li xo cu klama lo muzga	What's the number of the bus that goes to the museum?
lo aftobuso be lo litru cu clani	Tourists' bus is long.
ai mi vitke do	I'm going to visit you.
a'i cu'i mi klama lo zarci	I'm indecisive to whether I should go to a shop.
ai nai mi pu darxi do	I didn't mean to hit you.
mi aidji lo ka klama la nipon	I am going to go to Japan.
gau ko ta to'e akti	Turn that off.
gau ko ta akti	Turn it on.
mi jai gau ba akti fai le minji	I will get the machine running.
le zarci ca akti	The shop is open.
le minji ca akti lo ka cupra lo purmo	The machine is now in operation producing flour.
le verba pu jai gau spofu lo anka be lo no'a	The child broke his thigh.
xu do terpa tu'a lo ankabuta	Are you afraid of spiders?
lo vi arte pu jai rinka so'i nu darlu	There've been a lot of debates caused by this artwork.
pa arxokuna cu zvati lo mi kumfa co nu jukpa	There's a raccoon in my kitchen.
ra co'a se asna lo ckape ne'a le barda fenra	He took a dangerous pose near the abyss.
au e'o tcati	I'd like some tea, please.
au cu'i do jai gau bredi fai lo cidja	You prepare the food or not ... I don't have any preferences.
au nai do cliva	I don't want you to leave.
