coi la .alis.	Hi, Alice!
coi la .doris.	Hi, Doris!
do mo?	How are you?
mi kanro	I'm healthy.
.i mi bredi lo ka tavla	I'm ready to talk.
zabna	Good.
.i ma tcima ca lo bavlamdei?	What will be the weather tomorrow?
mi na djuno	I don't know.
.i lo solri sei mi pacna	It'll be sunny, I hope.
mi jimpe	I understand.
co'o	Goodbye.
ju'i la .alis.	Hey, Alice!
re'i	Listening.
xu do viska lo se skari be ta	Do you see the color of that thing?
je'u i plise	Yes. It is an apple.
i le plise cu xunre i skari lo xunre	The apple is red. It's colored red.
xu do viska lo tarmi be le plise	Can you see the form of the apple?
je'u i le plise cu barda	Yes. The apple is big.
xu do jinvi lo du'u le plise ca makcu	Do you think that the apple is ripe?
au mi palpi lo sefta be le plise	I'd like to palpate it.
i ua xutla	Oh, it is smooth.
i mi pacna lo nu makcu ie	I hope that it is ripe, yeah.
panci pei	What about the smell?
i e'o do sumne le plise	Please, smell it.
lo flora cu panci	It smells of flowers.
i au mi smaka le plise	I'd like to taste the apple.
i oi nai lo kukte cu tasta	Yum, it tastes sweet.
i oi	Oh-no.
ma pu fasnu	What happened?
mi pu farlu fi lo ve'i cmana	I fell down from the hill.
xu do cortu	Do you feel pain?
je'u i mi cortu lo cidni	Yes, I feel pain in the knee.
i na ckape	It's not dangerous.
i ca ti mi gasne lo nu da vi zvati	And now I can sense a presence of someone here.
doi la alis do cliva e'o sai	Alice, please, return immediately!
ko denpa i mi ca tirna lo sance	Wait, I can hear some sound.
lo sance be ma	A sound of what?
mi pu tirna lo nu lo prenu cu tavla	I heard a person talking.
i ca ti mi ganse lo lenku	Now I feel cold.
ju'i la alis	Hey, Alice!..
mi viska lo plise	I see an apple.
mi viska lo tarmi be lo plise	I see the form of an apple.
i le plise cu se tarmi lo cukla	The apple is round.
mi viska lo se skari be lo plise	I see the color of the apple.
i le plise cu skari lo xunre	The apple is colored red.
mi tirna lo palta	I hear a plate
mi tirna lo sance be lo palta poi ca'o porpi	I hear the sound of a plate that is falling.
i le palta cu se sance lo cladu	It sounds loud.
mi tirna lo cladu	I hear something loud.
mi tirna lo tolycladu	I hear something quiet in sound.
mi tirna lo tonga be lo palta poi farlu	I hear the tone of the plate falling down.
do tirna ma noi sance	What sound do you hear?
lo zgike	A music.
do tirna lo sance be ma	You hear a sound of what?
lo plise poi farlu	An apple that has fallen down.
mi sumne le flora	I smell the flower.
mi sumne lo panci be lo za'u flora	I smell the odor of flowers.
mi sumne lo panci be lo plise	I smell the odor of the apple.
i le plise cu se panci lo za'u flora	The apple smells of flowers.
mi smaka lo plise	I taste the apple.
mi smaka lo tasta be lo plise	I taste the taste of the apple.
i le plise cu se tasta lo kukte	The apple tastes sweet.
mi palpi lo plise	I palpate, touch-feel the apple.
mi palpi lo sefta be lo plise	I touch feel the surface of the apple.
i le plise cu se sefta lo xutla	The apple has a smooth surface.
mi cortu lo birka be mi	My arm hurts.
mi cortu lo cidni	My knee hurts.
mi ganse lo plise	I sense an apple.
mi ganse lo tarmi be lo plise	I sense the form of an apple.
i le plise cu se tarmi lo cukla	The apple is round.
ti xunre	This is red.
ti skari lo xunre	This is red.
ti skari lo ciblu	This has the color of blood.
lo tsani cu xunre ca lo cerni	The sky is red in the morning.
i lo solri cu simlu lo ka narju	The sun seems to be orange.
i lo pelxu flora cu se farna lo solri	Yellow flowers are oriented towards the Sun.
i lo pezli be lo tricu cu crino	Leaves of trees are green.
i mi zvati lo korbi be lo blanu xamsi	I am at the border of a blue sea.
i mi catlu lo ninmu noi dasni lo zirpu taxfu	I look at a woman who wears a violet dress.
lo gusni be lo manku pagbu pu na carmi	The light illuminating dark areas was not intense.
lo gusni be fi lo solri pu carmi	The light from the Sun was intense.
coi	Hi.
i ma nuzba	What are the news?
i do simlu lo ka badri	You seem to be sad.
mi steba lo nu lo bruna be mi co'a speni lo nixli	I am frustrated that my brother gets married a girl.
mi se cfipu	I am confused.
i xu do na gleki lo nu le bruna co'a speni	You are not happy that the gets married?
ie	Yeah.
i le nixli cu pindi	The girl is poor.
i le nixli cu nitcu lo jdini	She needs money.
i mi na kakne lo ka ciksi	I am not able to explain.
ua	Ah!
i la'a do kanpe lo nu le nixli na prami le bruna	Probably you expect that she doesn't like the brother.
mi terpa lo nu le nixli ba tarti lo xlali	I am afraid that she will behave bad.
i ku'i le bruna cu cisma ca ro ka tavla le nixli	But the brother smiles every time he talks to her.
i ri ro roi cmila	And she always laughs.
mi kucli lo nu le nixli cu prami le bruna	I wonder whether the girl likes the brother.
mi na birti	I am not sure.
ko surla	Relax!
ca glare	It's hot now.
i ku'i mi ganse lo nu lenku	But I feel cold.
xu do bilma	Are you ill?
je'u	Yes.
xu do bilma fi la influ'enza	Do you have a flu?
i e'u do klama lo mikce	I suggest you go to a doctor.
mi bilma lo ka cortu lo galxe	My symptoms is that my throat aches.
i mi sruma lo nu mi bilma fi la zukam	I assume that I have a cold.
ko kanro	Get well!
ki'e	Thanks.
le nanmu cu se xadni lo clani	The man is tall.
mi pu darxi lo stedu e lo zunle xance	I hit the head and the left hand.
i ca ti lo degji be le xance cu cortu	Now a finger of the hand hurts.
i ku'i lo pritu xance na cortu	But the right hand doesn't hurt.
lo degji be lo xance be le ninmu cu clani	The woman's fingers are long.
mi viska le jamfu i ku'i mi na viska lo degji be le jamfu	I can see the feet. But I don't see its toes.
coi do mi se cmene zo adam	Hello to you. I am called "Adam".
i ti du la Alis	This is Alice.
i ri speni mi	She is my wife.
pluka fa lo ka penmi do	Pleasure to meet you.
i e'o do klama no nenri be le dinju	Please, come into the house.
ki'e	Thanks.
i au gau mi re do co'a slabu lo lanzu be mi	I'd like you to get to know my family.
i le re verba cu panzi mi	The two children are my offspring.
i le tixnu cu se cmene zo flor	The daughter is callse "Flor".
i la karl cu du le bersa	Karl is the son.
la karl cu mutce citno	Karl is very young.
ie	Yeah.
i ji'a mi se tunba re da noi ca na zvati le dinju	Also I have two siblings who are now not in the house.
i sa'e mi se tunba lo pa bruna e lo pa mensi	To be precise, I have a brother and a sister.
ue	Wow!
i lo lanzu be do cu barda	Your family is large.
je'u pei	Really?
mi co'a speni la .suzan.	I married Susan.
lo pa bersa be lo pendo be mi cu verba lo nanca be li ci	The son of my friend is a child of three years old.
ue	Wow!
do pu te vecnu lo laldo karce	You bought an old car.
ie	Yeah.
i ku'i mi na pu pleji lo so'i jdini	But I didn't pay much money.
ma pu jdima le karce	What was the price of the car?
mi pu pleji lo rupnusudu be lo kilto lo kagni le karce	I paid a thousand dollars to the company for the car.
mi pu vecnu lo laldo karce pe mi lo pendo be mi	I sold an old car of mine to my friend.
i le pendo pu pleji lo rupne'uru be li re ki'o mi le karce	The friend paid 2 000 euro for the car.
ma stuzi lo zdani be do	What is the location of your home?
lo korbi be lo boske	The edge of a forest.
i mi se zdani lo nurma	I live in the country.
i lo zdani be mi cu barda dinju gi'e se kumfa ci da ce lo vikmi kumfa ce lo lumci kumfa	My home is a big house and has three rooms plus a toilet plus a bathroom.
je'e	I see.
i ku'i mi pu jbena lo tcadu i je ca ti mi se zdani lo jarbu be la paris	But I was born in a city, and now I live in the suburbs of Paris.
i mi xabju ne'a lo zarci	I live near a shop.
